id,kind,status,reasonCode,observations
ppo/h1/f0/s11/funding2x/ETHUSDT,replay,failed,5,185
ppo/h1/f0/s11/funding2x/LINKUSDT,replay,failed,5,184
ppo/h1/f0/s11/funding2x/LTCUSDT,replay,failed,5,185
ppo/h1/f0/s11/funding2x/SOLUSDT,replay,failed,5,184
ppo/h1/f0/s11/funding2x/XRPUSDT,replay,failed,5,184
ppo/h1/f0/s23,training,complete,0,
ppo/h1/f0/s23/base/ADAUSDT,replay,failed,2,180
ppo/h1/f0/s23/base/AVAXUSDT,replay,failed,2,173
ppo/h1/f0/s23/base/BNBUSDT,replay,failed,2,284
ppo/h1/f0/s23/base/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s23/base/DOGEUSDT,replay,failed,2,273
ppo/h1/f0/s23/base/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s23/base/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s23/base/LTCUSDT,replay,failed,2,181
ppo/h1/f0/s23/base/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s23/base/XRPUSDT,replay,failed,2,180
ppo/h1/f0/s23/cost1_5x/ADAUSDT,replay,failed,2,180
ppo/h1/f0/s23/cost1_5x/AVAXUSDT,replay,failed,2,173
ppo/h1/f0/s23/cost1_5x/BNBUSDT,replay,failed,2,284
ppo/h1/f0/s23/cost1_5x/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s23/cost1_5x/DOGEUSDT,replay,failed,2,273
ppo/h1/f0/s23/cost1_5x/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s23/cost1_5x/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s23/cost1_5x/LTCUSDT,replay,failed,2,181
ppo/h1/f0/s23/cost1_5x/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s23/cost1_5x/XRPUSDT,replay,failed,2,180
ppo/h1/f0/s23/cost2x/ADAUSDT,replay,failed,2,180
ppo/h1/f0/s23/cost2x/AVAXUSDT,replay,failed,2,173
ppo/h1/f0/s23/cost2x/BNBUSDT,replay,failed,2,284
ppo/h1/f0/s23/cost2x/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s23/cost2x/DOGEUSDT,replay,failed,2,273
ppo/h1/f0/s23/cost2x/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s23/cost2x/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s23/cost2x/LTCUSDT,replay,failed,2,181
ppo/h1/f0/s23/cost2x/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s23/cost2x/XRPUSDT,replay,failed,2,180
ppo/h1/f0/s23/extreme25bp/ADAUSDT,replay,failed,2,180
ppo/h1/f0/s23/extreme25bp/AVAXUSDT,replay,failed,2,173
ppo/h1/f0/s23/extreme25bp/BNBUSDT,replay,failed,2,284
ppo/h1/f0/s23/extreme25bp/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s23/extreme25bp/DOGEUSDT,replay,failed,2,273
ppo/h1/f0/s23/extreme25bp/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s23/extreme25bp/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s23/extreme25bp/LTCUSDT,replay,failed,2,181
ppo/h1/f0/s23/extreme25bp/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s23/extreme25bp/XRPUSDT,replay,failed,2,180
ppo/h1/f0/s23/delay1bar/ADAUSDT,replay,failed,5,36
ppo/h1/f0/s23/delay1bar/AVAXUSDT,replay,failed,2,173
ppo/h1/f0/s23/delay1bar/BNBUSDT,replay,failed,2,284
ppo/h1/f0/s23/delay1bar/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s23/delay1bar/DOGEUSDT,replay,failed,5,138
ppo/h1/f0/s23/delay1bar/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s23/delay1bar/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s23/delay1bar/LTCUSDT,replay,failed,2,181
ppo/h1/f0/s23/delay1bar/SOLUSDT,replay,failed,2,175
ppo/h1/f0/s23/delay1bar/XRPUSDT,replay,failed,2,180
ppo/h1/f0/s23/partial50pct/ADAUSDT,replay,failed,2,180
ppo/h1/f0/s23/partial50pct/AVAXUSDT,replay,failed,2,173
ppo/h1/f0/s23/partial50pct/BNBUSDT,replay,failed,2,284
ppo/h1/f0/s23/partial50pct/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s23/partial50pct/DOGEUSDT,replay,failed,2,271
ppo/h1/f0/s23/partial50pct/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s23/partial50pct/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s23/partial50pct/LTCUSDT,replay,failed,2,181
ppo/h1/f0/s23/partial50pct/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s23/partial50pct/XRPUSDT,replay,failed,2,180
ppo/h1/f0/s23/missed10pct/ADAUSDT,replay,failed,2,180
ppo/h1/f0/s23/missed10pct/AVAXUSDT,replay,failed,2,173
ppo/h1/f0/s23/missed10pct/BNBUSDT,replay,failed,2,284
ppo/h1/f0/s23/missed10pct/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s23/missed10pct/DOGEUSDT,replay,failed,2,273
ppo/h1/f0/s23/missed10pct/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s23/missed10pct/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s23/missed10pct/LTCUSDT,replay,failed,2,181
ppo/h1/f0/s23/missed10pct/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s23/missed10pct/XRPUSDT,replay,failed,2,180
ppo/h1/f0/s23/impact10bp/ADAUSDT,replay,failed,2,180
ppo/h1/f0/s23/impact10bp/AVAXUSDT,replay,failed,2,173
ppo/h1/f0/s23/impact10bp/BNBUSDT,replay,failed,2,284
ppo/h1/f0/s23/impact10bp/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s23/impact10bp/DOGEUSDT,replay,failed,2,273
ppo/h1/f0/s23/impact10bp/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s23/impact10bp/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s23/impact10bp/LTCUSDT,replay,failed,2,181
ppo/h1/f0/s23/impact10bp/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s23/impact10bp/XRPUSDT,replay,failed,2,180
ppo/h1/f0/s23/funding2x/ADAUSDT,replay,failed,2,180
ppo/h1/f0/s23/funding2x/AVAXUSDT,replay,failed,2,173
ppo/h1/f0/s23/funding2x/BNBUSDT,replay,failed,2,284
ppo/h1/f0/s23/funding2x/BTCUSDT,replay,failed,2,278
ppo/h1/f0/s23/funding2x/DOGEUSDT,replay,failed,2,273
ppo/h1/f0/s23/funding2x/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s23/funding2x/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s23/funding2x/LTCUSDT,replay,failed,2,181
ppo/h1/f0/s23/funding2x/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s23/funding2x/XRPUSDT,replay,failed,2,180
ppo/h1/f0/s47,training,complete,0,
ppo/h1/f0/s47/base/ADAUSDT,replay,failed,2,175
ppo/h1/f0/s47/base/AVAXUSDT,replay,failed,2,174
ppo/h1/f0/s47/base/BNBUSDT,replay,complete,0,599
ppo/h1/f0/s47/base/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s47/base/DOGEUSDT,replay,complete,0,599
ppo/h1/f0/s47/base/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s47/base/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s47/base/LTCUSDT,replay,failed,2,274
ppo/h1/f0/s47/base/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s47/base/XRPUSDT,replay,failed,2,182
ppo/h1/f0/s47/cost1_5x/ADAUSDT,replay,failed,2,175
ppo/h1/f0/s47/cost1_5x/AVAXUSDT,replay,failed,2,174
ppo/h1/f0/s47/cost1_5x/BNBUSDT,replay,complete,0,599
ppo/h1/f0/s47/cost1_5x/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s47/cost1_5x/DOGEUSDT,replay,complete,0,599
ppo/h1/f0/s47/cost1_5x/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s47/cost1_5x/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s47/cost1_5x/LTCUSDT,replay,failed,2,273
ppo/h1/f0/s47/cost1_5x/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s47/cost1_5x/XRPUSDT,replay,failed,2,182
ppo/h1/f0/s47/cost2x/ADAUSDT,replay,failed,2,175
