rank,w_adx,t_trend,t_range,sharpe,max_drawdown,win_rate,closed_trades,avg_trade,profit_factor,error
1,0.3,0.5,0.5,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
2,0.3,0.5,0.6,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
3,0.3,0.6,0.5,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
4,0.3,0.6,0.6,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
5,0.4,0.5,0.5,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
6,0.4,0.5,0.6,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
7,0.4,0.6,0.5,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
8,0.4,0.6,0.6,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
9,0.5,0.5,0.5,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
10,0.5,0.5,0.6,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
11,0.5,0.6,0.5,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
12,0.5,0.6,0.6,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
