openTime,close,high,low
1766169900000,87011.51000000,87065.74000000,86938.97000000
1766170200000,87307.68000000,87307.69000000,87011.50000000
1766170500000,87155.44000000,87313.12000000,87129.49000000
1766170800000,87327.49000000,87340.00000000,87134.60000000
1766171100000,87370.02000000,87404.23000000,87281.53000000
1766171400000,87297.48000000,87387.29000000,87249.04000000
1766171700000,87569.87000000,87633.01000000,87297.49000000
1766172000000,87653.25000000,87699.65000000,87531.03000000
1766172300000,87658.01000000,87803.26000000,87646.38000000
1766172600000,87705.21000000,87756.80000000,87586.03000000
1766172900000,87932.01000000,88009.46000000,87705.20000000
1766173200000,87979.19000000,87985.84000000,87823.00000000
1766173500000,88035.36000000,88040.00000000,87947.20000000
1766173800000,87857.00000000,88125.67000000,87823.01000000
1766174100000,87845.92000000,87909.81000000,87796.58000000
1766174400000,87763.70000000,87970.10000000,87725.00000000
1766174700000,87640.95000000,87857.17000000,87622.00000000
1766175000000,87780.01000000,87833.52000000,87614.79000000
1766175300000,88016.61000000,88033.82000000,87691.22000000
1766175600000,88140.00000000,88178.84000000,87970.00000000
1766175900000,88036.42000000,88201.59000000,87961.59000000
1766176200000,88137.00000000,88138.62000000,87892.36000000
1766176500000,87985.31000000,88416.00000000,87982.53000000
1766176800000,88054.88000000,88184.28000000,87985.32000000
1766177100000,88271.03000000,88340.00000000,88028.28000000
1766177400000,88107.11000000,88393.69000000,88101.81000000
1766177700000,88099.60000000,88106.90000000,87950.00000000
1766178000000,87961.60000000,88099.60000000,87961.59000000
1766178300000,87944.06000000,87983.02000000,87899.33000000
1766178600000,87914.79000000,87961.60000000,87896.60000000
1766178900000,87952.33000000,88040.00000000,87893.61000000
1766179200000,87996.94000000,87996.94000000,87939.98000000
1766179500000,87993.37000000,88098.00000000,87950.00000000
1766179800000,87973.05000000,88070.20000000,87961.59000000
1766180100000,87998.12000000,88048.14000000,87962.96000000
1766180400000,87908.20000000,87998.12000000,87908.20000000
1766180700000,87882.48000000,87946.96000000,87876.31000000
1766181000000,87853.83000000,87904.08000000,87820.00000000
1766181300000,87839.40000000,87859.77000000,87800.00000000
1766181600000,88049.37000000,88055.92000000,87839.39000000
1766181900000,88133.73000000,88213.62000000,88032.22000000
1766182200000,88049.90000000,88165.27000000,88032.34000000
1766182500000,88188.82000000,88188.82000000,88049.89000000
1766182800000,88254.04000000,88262.80000000,88180.00000000
1766183100000,88218.45000000,88311.02000000,88170.73000000
1766183400000,88219.44000000,88267.10000000,88140.00000000
1766183700000,88306.76000000,88333.60000000,88213.82000000
1766184000000,88389.49000000,88389.50000000,88293.05000000
1766184300000,88279.70000000,88426.85000000,88250.00000000
1766184600000,88239.11000000,88360.00000000,88239.10000000
1766184900000,88344.78000000,88344.78000000,88221.48000000
1766185200000,88277.49000000,88360.00000000,88277.46000000
1766185500000,88300.00000000,88300.00000000,88251.93000000
1766185800000,88263.01000000,88323.84000000,88260.81000000
1766186100000,88294.58000000,88294.58000000,88254.99000000
1766186400000,88345.96000000,88345.96000000,88274.46000000
1766186700000,88329.46000000,88354.82000000,88329.45000000
1766187000000,88210.86000000,88329.46000000,88210.85000000
1766187300000,88157.84000000,88223.36000000,88157.83000000
1766187600000,88231.14000000,88252.09000000,88157.83000000
1766187900000,88202.24000000,88231.15000000,88193.42000000
1766188200000,88134.08000000,88202.25000000,88134.07000000
1766188500000,88136.94000000,88158.82000000,88133.85000000
1766188800000,88089.99000000,88165.27000000,88034.41000000
1766189100000,88032.39000000,88098.62000000,88022.82000000
1766189400000,88123.72000000,88167.48000000,88032.39000000
1766189700000,88087.27000000,88188.00000000,88087.26000000
1766190000000,88185.60000000,88185.61000000,88082.12000000
1766190300000,88169.38000000,88185.60000000,88139.73000000
1766190600000,88148.00000000,88178.04000000,88110.75000000
1766190900000,88087.95000000,88148.01000000,88065.00000000
1766191200000,88084.42000000,88087.95000000,88065.00000000
1766191500000,88055.25000000,88117.37000000,88046.64000000
1766191800000,87972.99000000,88063.43000000,87961.60000000
1766192100000,88005.63000000,88038.80000000,87973.00000000
1766192400000,88025.42000000,88060.01000000,88005.62000000
1766192700000,88079.99000000,88080.00000000,88020.43000000
1766193000000,88093.42000000,88106.00000000,88070.32000000
1766193300000,88114.17000000,88165.27000000,88092.15000000
1766193600000,88163.82000000,88163.82000000,88105.78000000
1766193900000,88137.60000000,88163.82000000,88131.63000000
1766194200000,88119.97000000,88137.61000000,88069.69000000
1766194500000,88101.58000000,88126.71000000,88100.74000000
1766194800000,88042.24000000,88101.59000000,88042.23000000
1766195100000,88092.78000000,88126.94000000,88042.23000000
1766195400000,88075.88000000,88092.79000000,88075.88000000
1766195700000,88075.89000000,88075.89000000,88046.80000000
1766196000000,88034.99000000,88080.00000000,87988.67000000
1766196300000,88046.80000000,88060.00000000,88034.99000000
1766196600000,88051.01000000,88051.01000000,88032.66000000
1766196900000,88129.76000000,88140.00000000,88051.00000000
1766197200000,88116.59000000,88139.06000000,88102.60000000
1766197500000,88116.17000000,88116.59000000,88110.00000000
1766197800000,88177.99000000,88178.00000000,88114.38000000
1766198100000,88169.99000000,88178.00000000,88141.94000000
1766198400000,88311.86000000,88311.86000000,88130.43000000
