close,high,low
15.92270000,15.93860000,15.92270000
15.92720000,15.93300000,15.92000000
15.92220000,15.93130000,15.92100000
15.91920000,15.92500000,15.91910000
15.92470000,15.92490000,15.91910000
15.91930000,15.92800000,15.91910000
15.91550000,15.92420000,15.91180000
15.90850000,15.92060000,15.89290000
15.88000000,15.90920000,15.88000000
15.85990000,15.88400000,15.70000000
15.91210000,15.99990000,15.84430000
15.91320000,15.94550000,15.89300000
15.90930000,15.92560000,15.89380000
15.93700000,15.93960000,15.90600000
15.93220000,15.94250000,15.91650000
15.95730000,15.95730000,15.92760000
15.95890000,15.96970000,15.94080000
15.98800000,15.99190000,15.95690000
15.97680000,15.99990000,15.96840000
15.96000000,15.98530000,15.93860000
15.95490000,15.96660000,15.94170000
15.96180000,15.96710000,15.94510000
15.97000000,15.97760000,15.96050000
15.96290000,15.97000000,15.95880000
15.96280000,15.96540000,15.96000000
15.96220000,15.96350000,15.95020000
15.96990000,15.97000000,15.95940000
15.97220000,15.97730000,15.95970000
15.95540000,15.97280000,15.95540000
15.94570000,15.95980000,15.94380000
15.94910000,15.96250000,15.93370000
15.94490000,15.95330000,15.94030000
15.91010000,15.95230000,15.90200000
15.91970000,15.92000000,15.90030000
15.91980000,15.92060000,15.90610000
15.91120000,15.92060000,15.89190000
15.90310000,15.91330000,15.89650000
15.89180000,15.90310000,15.88570000
15.88000000,15.89560000,15.88000000
15.87960000,15.89550000,15.87920000
15.88990000,15.89590000,15.87940000
15.89010000,15.89600000,15.88010000
15.89470000,15.89590000,15.88850000
15.89070000,15.89600000,15.88210000
15.90630000,15.91150000,15.88150000
15.90040000,15.91650000,15.89480000
15.91090000,15.91920000,15.89250000
15.91090000,15.91560000,15.91000000
15.90000000,15.91380000,15.89470000
15.91400000,15.91400000,15.89590000
15.90370000,15.91310000,15.89760000
15.92710000,15.94260000,15.90210000
15.92580000,15.94110000,15.92580000
15.92080000,15.92580000,15.89560000
15.90240000,15.91550000,15.88900000
15.89140000,15.90230000,15.88760000
15.88240000,15.91250000,15.87120000
15.87650000,15.89030000,15.84740000
15.83800000,15.87880000,15.83000000
15.82000000,15.84400000,15.79650000
15.83030000,15.84400000,15.81270000
15.84130000,15.84220000,15.82190000
15.83370000,15.84400000,15.82810000
15.83850000,15.84000000,15.81410000
15.84060000,15.84400000,15.83090000
15.83170000,15.84400000,15.83160000
15.83520000,15.84390000,15.80720000
15.84370000,15.84400000,15.83260000
15.86240000,15.86250000,15.83980000
15.86470000,15.87330000,15.84740000
15.85260000,15.87670000,15.84520000
15.86690000,15.86770000,15.84410000
15.84770000,15.86720000,15.83800000
15.83740000,15.84820000,15.81390000
15.83980000,15.84320000,15.82940000
15.83130000,15.83970000,15.82110000
15.82680000,15.83130000,15.82160000
15.81720000,15.82830000,15.81720000
15.82240000,15.82800000,15.81550000
15.82830000,15.83140000,15.82180000
15.83520000,15.83520000,15.81570000
15.84460000,15.85000000,15.81380000
15.82500000,15.84910000,15.82050000
15.82490000,15.83080000,15.81760000
15.82810000,15.83690000,15.81680000
15.82400000,15.84150000,15.81820000
15.81850000,15.83300000,15.81380000
15.82110000,15.82450000,15.81390000
15.82310000,15.82350000,15.81390000
15.82950000,15.83210000,15.81440000
15.83930000,15.84910000,15.83040000
15.84180000,15.84970000,15.83500000
15.85940000,15.86660000,15.83850000
15.85650000,15.86590000,15.85650000
15.87130000,15.87270000,15.85000000
15.86660000,15.87180000,15.86230000
15.87730000,15.88360000,15.86660000
15.87470000,15.87750000,15.86890000
15.86940000,15.87740000,15.86940000
15.90400000,15.91130000,15.86940000
15.90250000,15.90400000,15.89300000
15.91990000,15.92000000,15.90060000
15.92530000,15.93230000,15.92000000
15.91680000,15.92490000,15.91260000
15.90320000,15.91700000,15.89080000
15.89120000,15.90660000,15.89050000
15.89380000,15.89800000,15.88510000
15.91020000,15.91320000,15.88750000
15.90760000,15.91770000,15.90710000
15.91000000,15.91200000,15.90760000
15.90420000,15.91190000,15.90100000
15.89710000,15.90890000,15.89580000
15.89570000,15.90830000,15.89570000
15.89800000,15.90360000,15.88710000
15.92970000,15.94460000,15.90020000
15.93950000,15.93970000,15.92570000
15.96110000,15.96110000,15.93330000
15.96740000,15.96740000,15.95800000
15.95900000,15.97310000,15.95410000
15.96950000,15.96950000,15.94870000
15.97970000,16.01000000,15.96680000
15.94800000,15.98820000,15.94020000
15.95310000,15.96310000,15.94230000
15.95860000,15.96030000,15.94570000
15.96790000,15.97300000,15.95980000
15.95600000,15.97240000,15.95440000
15.98550000,15.98550000,15.95470000
16.01610000,16.02130000,15.98090000
15.97840000,16.01850000,15.97400000
15.95160000,15.99060000,15.94510000
15.96370000,15.96530000,15.95390000
15.96330000,15.96640000,15.95250000
15.95800000,15.96620000,15.95530000
15.96030000,15.96400000,15.95500000
15.96670000,15.97450000,15.96010000
15.97570000,15.98940000,15.96450000
15.98260000,15.98340000,15.97500000
15.97170000,15.98470000,15.97030000
16.04390000,16.05000000,15.97330000
16.04020000,16.05370000,16.03940000
16.02890000,16.05540000,15.99800000
16.02580000,16.05400000,16.00730000
16.04000000,16.04980000,16.01870000
16.06370000,16.07010000,16.03550000
16.05550000,16.08980000,16.05240000
16.07310000,16.08140000,16.05060000
16.05610000,16.07950000,16.05300000
16.06650000,16.07690000,16.05370000
16.03620000,16.07020000,16.03120000
16.05000000,16.05160000,16.03380000
16.02190000,16.05520000,16.01720000
16.03470000,16.03530000,16.01850000
16.05490000,16.05490000,16.03070000
16.06120000,16.07040000,16.04320000
16.07070000,16.07780000,16.05800000
